msoa,council,period,maxincidence
Aber Valley,Caerphilly,All cases,"1,984.1"
Aber Valley,Caerphilly,Rolling 21 days (01 Oct - 21 Oct),940.6
Aber Valley,Caerphilly,Rolling 7 days (15 Oct - 21 Oct),102.9
Aberaeron & Llanrhystud,Ceredigion,All cases,211.4
Aberaeron & Llanrhystud,Ceredigion,Rolling 21 days (01 Oct - 21 Oct),42.3
Aberaeron & Llanrhystud,Ceredigion,Rolling 7 days (15 Oct - 21 Oct),<29
Aberafan,Neath Port Talbot,All cases,"1,218.0"
Aberafan,Neath Port Talbot,Rolling 21 days (01 Oct - 21 Oct),685.8
Aberafan,Neath Port Talbot,Rolling 7 days (15 Oct - 21 Oct),286.6
Aberaman,Rhondda Cynon Taf,All cases,"2,285.3"
Aberaman,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),669.8
Aberaman,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),266.0
Aberbargoed & Gilfach,Caerphilly,All cases,"1,070.5"
Aberbargoed & Gilfach,Caerphilly,Rolling 21 days (01 Oct - 21 Oct),428.2
Aberbargoed & Gilfach,Caerphilly,Rolling 7 days (15 Oct - 21 Oct),181.2
Abercynon,Rhondda Cynon Taf,All cases,"3,096.1"
Abercynon,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),"1,109.1"
Abercynon,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),585.3
Aberdare East & Cwm-bach,Rhondda Cynon Taf,All cases,"2,353.8"
Aberdare East & Cwm-bach,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),722.0
Aberdare East & Cwm-bach,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),361.0
Aberdare North & Llwydcoed,Rhondda Cynon Taf,All cases,"2,393.1"
Aberdare North & Llwydcoed,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),"1,225.7"
Aberdare North & Llwydcoed,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),408.6
Aberdare West,Rhondda Cynon Taf,All cases,"1,581.6"
Aberdare West,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),655.8
Aberdare West,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),205.7
Aberdulais & Resolfen,Neath Port Talbot,All cases,819.0
Aberdulais & Resolfen,Neath Port Talbot,Rolling 21 days (01 Oct - 21 Oct),438.7
Aberdulais & Resolfen,Neath Port Talbot,Rolling 7 days (15 Oct - 21 Oct),219.4
Abergavenny North,Monmouthshire,All cases,860.9
Abergavenny North,Monmouthshire,Rolling 21 days (01 Oct - 21 Oct),260.9
Abergavenny North,Monmouthshire,Rolling 7 days (15 Oct - 21 Oct),91.3
Abergavenny South & Crucorney,Monmouthshire,All cases,"1,449.6"
Abergavenny South & Crucorney,Monmouthshire,Rolling 21 days (01 Oct - 21 Oct),335.4
Abergavenny South & Crucorney,Monmouthshire,Rolling 7 days (15 Oct - 21 Oct),155.7
Abergele,Conwy,All cases,901.8
Abergele,Conwy,Rolling 21 days (01 Oct - 21 Oct),202.4
Abergele,Conwy,Rolling 7 days (15 Oct - 21 Oct),27.6
"Abergwili, Llanegwad & Carmel",Carmarthenshire,All cases,630.7
"Abergwili, Llanegwad & Carmel",Carmarthenshire,Rolling 21 days (01 Oct - 21 Oct),255.3
"Abergwili, Llanegwad & Carmel",Carmarthenshire,Rolling 7 days (15 Oct - 21 Oct),75.1
"Abermule, Churchstoke & Kerry",Powys,All cases,301.7
"Abermule, Churchstoke & Kerry",Powys,Rolling 21 days (01 Oct - 21 Oct),53.2
"Abermule, Churchstoke & Kerry",Powys,Rolling 7 days (15 Oct - 21 Oct),<36
Abersoch & Aberdaron,Gwynedd,All cases,816.9
Abersoch & Aberdaron,Gwynedd,Rolling 21 days (01 Oct - 21 Oct),323.3
Abersoch & Aberdaron,Gwynedd,Rolling 7 days (15 Oct - 21 Oct),136.1
Abersychan,Torfaen,All cases,797.0
Abersychan,Torfaen,Rolling 21 days (01 Oct - 21 Oct),324.2
Abersychan,Torfaen,Rolling 7 days (15 Oct - 21 Oct),108.1
Abertillery North & Cwmtillery,Blaenau Gwent,All cases,"1,066.3"
Abertillery North & Cwmtillery,Blaenau Gwent,Rolling 21 days (01 Oct - 21 Oct),399.9
Abertillery North & Cwmtillery,Blaenau Gwent,Rolling 7 days (15 Oct - 21 Oct),155.5
Abertillery South & Llanhilleth,Blaenau Gwent,All cases,953.6
Abertillery South & Llanhilleth,Blaenau Gwent,Rolling 21 days (01 Oct - 21 Oct),512.4
Abertillery South & Llanhilleth,Blaenau Gwent,Rolling 7 days (15 Oct - 21 Oct),227.7
Aberystwyth North,Ceredigion,All cases,599.9
Aberystwyth North,Ceredigion,Rolling 21 days (01 Oct - 21 Oct),283.0
Aberystwyth North,Ceredigion,Rolling 7 days (15 Oct - 21 Oct),56.6
Aberystwyth South,Ceredigion,All cases,283.9
Aberystwyth South,Ceredigion,Rolling 21 days (01 Oct - 21 Oct),74.7
Aberystwyth South,Ceredigion,Rolling 7 days (15 Oct - 21 Oct),<30
Acton & Maes-y-dre,Wrexham,All cases,"2,472.3"
Acton & Maes-y-dre,Wrexham,Rolling 21 days (01 Oct - 21 Oct),731.8
Acton & Maes-y-dre,Wrexham,Rolling 7 days (15 Oct - 21 Oct),197.8
Adamsdown,Cardiff,All cases,"1,192.7"
Adamsdown,Cardiff,Rolling 21 days (01 Oct - 21 Oct),513.5
Adamsdown,Cardiff,Rolling 7 days (15 Oct - 21 Oct),231.9
Amlwch & Llannerch-y-medd,Anglesey,All cases,"1,036.4"
Amlwch & Llannerch-y-medd,Anglesey,Rolling 21 days (01 Oct - 21 Oct),368.5
Amlwch & Llannerch-y-medd,Anglesey,Rolling 7 days (15 Oct - 21 Oct),310.9
Ammanford & Betws,Carmarthenshire,All cases,530.0
Ammanford & Betws,Carmarthenshire,Rolling 21 days (01 Oct - 21 Oct),126.2
Ammanford & Betws,Carmarthenshire,Rolling 7 days (15 Oct - 21 Oct),50.5
Baglan,Neath Port Talbot,All cases,"1,159.9"
Baglan,Neath Port Talbot,Rolling 21 days (01 Oct - 21 Oct),505.6
Baglan,Neath Port Talbot,Rolling 7 days (15 Oct - 21 Oct),193.3
Bala & Mawddwy,Gwynedd,All cases,316.5
Bala & Mawddwy,Gwynedd,Rolling 21 days (01 Oct - 21 Oct),133.2
Bala & Mawddwy,Gwynedd,Rolling 7 days (15 Oct - 21 Oct),<34
Bangor City,Gwynedd,All cases,"2,334.8"
Bangor City,Gwynedd,Rolling 21 days (01 Oct - 21 Oct),"1,521.8"
Bangor City,Gwynedd,Rolling 7 days (15 Oct - 21 Oct),145.9
Bangor South,Gwynedd,All cases,"1,524.4"
Bangor South,Gwynedd,Rolling 21 days (01 Oct - 21 Oct),432.1
Bangor South,Gwynedd,Rolling 7 days (15 Oct - 21 Oct),228.1
"Bangor-on-Dee, Overton & Penley",Wrexham,All cases,692.0
"Bangor-on-Dee, Overton & Penley",Wrexham,Rolling 21 days (01 Oct - 21 Oct),331.0
"Bangor-on-Dee, Overton & Penley",Wrexham,Rolling 7 days (15 Oct - 21 Oct),45.1
Bargoed,Caerphilly,All cases,647.8
Bargoed,Caerphilly,Rolling 21 days (01 Oct - 21 Oct),113.4
Bargoed,Caerphilly,Rolling 7 days (15 Oct - 21 Oct),64.8
Barmouth & Dolgellau,Gwynedd,All cases,287.1
Barmouth & Dolgellau,Gwynedd,Rolling 21 days (01 Oct - 21 Oct),75.6
Barmouth & Dolgellau,Gwynedd,Rolling 7 days (15 Oct - 21 Oct),<31
Barry Dyfan & Illtyd,The Vale of Glamorgan,All cases,783.5
Barry Dyfan & Illtyd,The Vale of Glamorgan,Rolling 21 days (01 Oct - 21 Oct),<37
Barry Dyfan & Illtyd,The Vale of Glamorgan,Rolling 7 days (15 Oct - 21 Oct),<37
Barry East,The Vale of Glamorgan,All cases,809.0
Barry East,The Vale of Glamorgan,Rolling 21 days (01 Oct - 21 Oct),88.9
Barry East,The Vale of Glamorgan,Rolling 7 days (15 Oct - 21 Oct),<18
Barry Island,The Vale of Glamorgan,All cases,913.2
Barry Island,The Vale of Glamorgan,Rolling 21 days (01 Oct - 21 Oct),205.2
Barry Island,The Vale of Glamorgan,Rolling 7 days (15 Oct - 21 Oct),82.1
Barry West,The Vale of Glamorgan,All cases,"1,212.8"
Barry West,The Vale of Glamorgan,Rolling 21 days (01 Oct - 21 Oct),173.3
Barry West,The Vale of Glamorgan,Rolling 7 days (15 Oct - 21 Oct),43.3
Beaumaris & Benllech,Anglesey,All cases,662.7
Beaumaris & Benllech,Anglesey,Rolling 21 days (01 Oct - 21 Oct),201.2
Beaumaris & Benllech,Anglesey,Rolling 7 days (15 Oct - 21 Oct),142.0
Beddau & Tyn-y-nant,Rhondda Cynon Taf,All cases,"1,717.7"
Beddau & Tyn-y-nant,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),593.2
Beddau & Tyn-y-nant,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),284.2
Bedwas & Trethomas,Caerphilly,All cases,"1,814.7"
Bedwas & Trethomas,Caerphilly,Rolling 21 days (01 Oct - 21 Oct),380.5
Bedwas & Trethomas,Caerphilly,Rolling 7 days (15 Oct - 21 Oct),219.5
Beechwood,Newport,All cases,919.1
Beechwood,Newport,Rolling 21 days (01 Oct - 21 Oct),131.3
Beechwood,Newport,Rolling 7 days (15 Oct - 21 Oct),82.1
Bethel & Llanrug,Gwynedd,All cases,787.5
Bethel & Llanrug,Gwynedd,Rolling 21 days (01 Oct - 21 Oct),131.3
Bethel & Llanrug,Gwynedd,Rolling 7 days (15 Oct - 21 Oct),58.3
Bethesda,Gwynedd,All cases,885.2
Bethesda,Gwynedd,Rolling 21 days (01 Oct - 21 Oct),232.9
Bethesda,Gwynedd,Rolling 7 days (15 Oct - 21 Oct),116.5
Bettws,Newport,All cases,"1,143.7"
Bettws,Newport,Rolling 21 days (01 Oct - 21 Oct),236.2
Bettws,Newport,Rolling 7 days (15 Oct - 21 Oct),99.5
"Betws-yn-Rhos, Llangernyw & Llansannan",Conwy,All cases,790.9
"Betws-yn-Rhos, Llangernyw & Llansannan",Conwy,Rolling 21 days (01 Oct - 21 Oct),186.9
"Betws-yn-Rhos, Llangernyw & Llansannan",Conwy,Rolling 7 days (15 Oct - 21 Oct),86.3
"Beulah, Troed-yr-aur & Llandysul",Ceredigion,All cases,216.5
"Beulah, Troed-yr-aur & Llandysul",Ceredigion,Rolling 21 days (01 Oct - 21 Oct),81.2
"Beulah, Troed-yr-aur & Llandysul",Ceredigion,Rolling 7 days (15 Oct - 21 Oct),40.6
Birchgrove,Cardiff,All cases,"1,727.5"
Birchgrove,Cardiff,Rolling 21 days (01 Oct - 21 Oct),912.6
Birchgrove,Cardiff,Rolling 7 days (15 Oct - 21 Oct),325.9
Birchgrove,Swansea,All cases,"1,277.1"
Birchgrove,Swansea,Rolling 21 days (01 Oct - 21 Oct),644.8
Birchgrove,Swansea,Rolling 7 days (15 Oct - 21 Oct),372.0
Blackwood,Caerphilly,All cases,870.7
Blackwood,Caerphilly,Rolling 21 days (01 Oct - 21 Oct),312.9
Blackwood,Caerphilly,Rolling 7 days (15 Oct - 21 Oct),190.5
Blaenau Ffestiniog & Trawsfynydd,Gwynedd,All cases,493.0
Blaenau Ffestiniog & Trawsfynydd,Gwynedd,Rolling 21 days (01 Oct - 21 Oct),138.7
Blaenau Ffestiniog & Trawsfynydd,Gwynedd,Rolling 7 days (15 Oct - 21 Oct),<31
Blaenavon,Torfaen,All cases,"1,425.9"
Blaenavon,Torfaen,Rolling 21 days (01 Oct - 21 Oct),635.5
Blaenavon,Torfaen,Rolling 7 days (15 Oct - 21 Oct),248.0
"Blaengarw, Pontycymer & Bettws",Bridgend,All cases,"2,557.2"
"Blaengarw, Pontycymer & Bettws",Bridgend,Rolling 21 days (01 Oct - 21 Oct),"1,790.1"
"Blaengarw, Pontycymer & Bettws",Bridgend,Rolling 7 days (15 Oct - 21 Oct),332.4
Blaina & Nantyglo,Blaenau Gwent,All cases,"2,740.3"
Blaina & Nantyglo,Blaenau Gwent,Rolling 21 days (01 Oct - 21 Oct),632.4
Blaina & Nantyglo,Blaenau Gwent,Rolling 7 days (15 Oct - 21 Oct),189.7
Bodedern & Rhosneigr,Anglesey,All cases,819.8
Bodedern & Rhosneigr,Anglesey,Rolling 21 days (01 Oct - 21 Oct),250.1
Bodedern & Rhosneigr,Anglesey,Rolling 7 days (15 Oct - 21 Oct),152.8
Bon-y-maen,Swansea,All cases,"2,139.0"
Bon-y-maen,Swansea,Rolling 21 days (01 Oct - 21 Oct),"1,076.1"
Bon-y-maen,Swansea,Rolling 7 days (15 Oct - 21 Oct),624.4
Borras & Rhosnesni,Wrexham,All cases,"1,528.6"
Borras & Rhosnesni,Wrexham,Rolling 21 days (01 Oct - 21 Oct),537.1
Borras & Rhosnesni,Wrexham,Rolling 7 days (15 Oct - 21 Oct),<42
Borth & Bont-goch,Ceredigion,All cases,403.2
Borth & Bont-goch,Ceredigion,Rolling 21 days (01 Oct - 21 Oct),161.3
Borth & Bont-goch,Ceredigion,Rolling 7 days (15 Oct - 21 Oct),53.8
Brackla East & Coychurch Lower,Bridgend,All cases,"1,500.2"
Brackla East & Coychurch Lower,Bridgend,Rolling 21 days (01 Oct - 21 Oct),545.5
Brackla East & Coychurch Lower,Bridgend,Rolling 7 days (15 Oct - 21 Oct),187.5
Brackla West,Bridgend,All cases,970.0
Brackla West,Bridgend,Rolling 21 days (01 Oct - 21 Oct),500.6
Brackla West,Bridgend,Rolling 7 days (15 Oct - 21 Oct),203.4
Brecon,Powys,All cases,702.4
Brecon,Powys,Rolling 21 days (01 Oct - 21 Oct),297.6
Brecon,Powys,Rolling 7 days (15 Oct - 21 Oct),83.3
Briton Ferry,Neath Port Talbot,All cases,"1,102.9"
Briton Ferry,Neath Port Talbot,Rolling 21 days (01 Oct - 21 Oct),388.5
Briton Ferry,Neath Port Talbot,Rolling 7 days (15 Oct - 21 Oct),150.4
Broadlands,Bridgend,All cases,"1,009.2"
Broadlands,Bridgend,Rolling 21 days (01 Oct - 21 Oct),324.4
Broadlands,Bridgend,Rolling 7 days (15 Oct - 21 Oct),126.1
Broughton & Saltney,Flintshire,All cases,983.1
Broughton & Saltney,Flintshire,Rolling 21 days (01 Oct - 21 Oct),391.6
Broughton & Saltney,Flintshire,Rolling 7 days (15 Oct - 21 Oct),66.7
Bryn-cae & Llanharan,Rhondda Cynon Taf,All cases,"1,325.4"
Bryn-cae & Llanharan,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),363.4
Bryn-cae & Llanharan,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),138.9
Bryn-mawr,Blaenau Gwent,All cases,"2,720.7"
Bryn-mawr,Blaenau Gwent,Rolling 21 days (01 Oct - 21 Oct),522.5
Bryn-mawr,Blaenau Gwent,Rolling 7 days (15 Oct - 21 Oct),234.2
"Brynaman, Y Garnant & Glanaman",Carmarthenshire,All cases,570.1
"Brynaman, Y Garnant & Glanaman",Carmarthenshire,Rolling 21 days (01 Oct - 21 Oct),162.9
"Brynaman, Y Garnant & Glanaman",Carmarthenshire,Rolling 7 days (15 Oct - 21 Oct),95.0
Brynmill,Swansea,All cases,"1,747.7"
Brynmill,Swansea,Rolling 21 days (01 Oct - 21 Oct),"1,158.6"
Brynmill,Swansea,Rolling 7 days (15 Oct - 21 Oct),353.5
"Buckley North, Northop & Sychdyn",Flintshire,All cases,"1,213.8"
"Buckley North, Northop & Sychdyn",Flintshire,Rolling 21 days (01 Oct - 21 Oct),482.4
"Buckley North, Northop & Sychdyn",Flintshire,Rolling 7 days (15 Oct - 21 Oct),108.9
Buckley South,Flintshire,All cases,"1,060.5"
Buckley South,Flintshire,Rolling 21 days (01 Oct - 21 Oct),455.9
Buckley South,Flintshire,Rolling 7 days (15 Oct - 21 Oct),118.9
Builth Wells & Llanwrtyd Wells,Powys,All cases,254.1
Builth Wells & Llanwrtyd Wells,Powys,Rolling 21 days (01 Oct - 21 Oct),74.7
Builth Wells & Llanwrtyd Wells,Powys,Rolling 7 days (15 Oct - 21 Oct),44.8
Butetown,Cardiff,All cases,"1,341.7"
Butetown,Cardiff,Rolling 21 days (01 Oct - 21 Oct),471.9
Butetown,Cardiff,Rolling 7 days (15 Oct - 21 Oct),231.3
Bynea & Llwynhendy,Carmarthenshire,All cases,"1,659.5"
Bynea & Llwynhendy,Carmarthenshire,Rolling 21 days (01 Oct - 21 Oct),354.0
Bynea & Llwynhendy,Carmarthenshire,Rolling 7 days (15 Oct - 21 Oct),77.4
Cadoxton & Bryn-coch,Neath Port Talbot,All cases,"1,075.7"
Cadoxton & Bryn-coch,Neath Port Talbot,Rolling 21 days (01 Oct - 21 Oct),589.4
Cadoxton & Bryn-coch,Neath Port Talbot,Rolling 7 days (15 Oct - 21 Oct),309.5
Caerau,Bridgend,All cases,"1,299.6"
Caerau,Bridgend,Rolling 21 days (01 Oct - 21 Oct),663.9
Caerau,Bridgend,Rolling 7 days (15 Oct - 21 Oct),197.8
Caerau East,Cardiff,All cases,"1,454.3"
Caerau East,Cardiff,Rolling 21 days (01 Oct - 21 Oct),276.3
Caerau East,Cardiff,Rolling 7 days (15 Oct - 21 Oct),116.3
Caerau West,Cardiff,All cases,"1,570.1"
Caerau West,Cardiff,Rolling 21 days (01 Oct - 21 Oct),636.9
Caerau West,Cardiff,Rolling 7 days (15 Oct - 21 Oct),296.3
Caerleon,Newport,All cases,732.6
Caerleon,Newport,Rolling 21 days (01 Oct - 21 Oct),282.7
Caerleon,Newport,Rolling 7 days (15 Oct - 21 Oct),154.2
Caernarfon East,Gwynedd,All cases,867.5
Caernarfon East,Gwynedd,Rolling 21 days (01 Oct - 21 Oct),93.8
Caernarfon East,Gwynedd,Rolling 7 days (15 Oct - 21 Oct),70.3
Caernarfon West & Waunfawr,Gwynedd,All cases,627.6
Caernarfon West & Waunfawr,Gwynedd,Rolling 21 days (01 Oct - 21 Oct),74.7
Caernarfon West & Waunfawr,Gwynedd,Rolling 7 days (15 Oct - 21 Oct),<30
Caerphilly East,Caerphilly,All cases,"1,696.3"
Caerphilly East,Caerphilly,Rolling 21 days (01 Oct - 21 Oct),518.0
Caerphilly East,Caerphilly,Rolling 7 days (15 Oct - 21 Oct),243.8
Caerphilly South,Caerphilly,All cases,"1,646.4"
Caerphilly South,Caerphilly,Rolling 21 days (01 Oct - 21 Oct),252.6
Caerphilly South,Caerphilly,Rolling 7 days (15 Oct - 21 Oct),102.9
Caerphilly West,Caerphilly,All cases,"1,422.9"
Caerphilly West,Caerphilly,Rolling 21 days (01 Oct - 21 Oct),385.6
Caerphilly West,Caerphilly,Rolling 7 days (15 Oct - 21 Oct),159.6
"Caerwys, Halkyn & Nannerch",Flintshire,All cases,924.6
"Caerwys, Halkyn & Nannerch",Flintshire,Rolling 21 days (01 Oct - 21 Oct),209.6
"Caerwys, Halkyn & Nannerch",Flintshire,Rolling 7 days (15 Oct - 21 Oct),61.6
Caia Park,Wrexham,All cases,"2,128.6"
Caia Park,Wrexham,Rolling 21 days (01 Oct - 21 Oct),560.1
Caia Park,Wrexham,Rolling 7 days (15 Oct - 21 Oct),140.0
Caldicot North & Caer-went,Monmouthshire,All cases,364.8
Caldicot North & Caer-went,Monmouthshire,Rolling 21 days (01 Oct - 21 Oct),117.7
Caldicot North & Caer-went,Monmouthshire,Rolling 7 days (15 Oct - 21 Oct),35.3
Caldicot South,Monmouthshire,All cases,488.0
Caldicot South,Monmouthshire,Rolling 21 days (01 Oct - 21 Oct),97.6
Caldicot South,Monmouthshire,Rolling 7 days (15 Oct - 21 Oct),36.6
Canton,Cardiff,All cases,"1,423.3"
Canton,Cardiff,Rolling 21 days (01 Oct - 21 Oct),478.1
Canton,Cardiff,Rolling 7 days (15 Oct - 21 Oct),141.2
Cardiff Bay,Cardiff,All cases,"1,012.6"
Cardiff Bay,Cardiff,Rolling 21 days (01 Oct - 21 Oct),448.9
Cardiff Bay,Cardiff,Rolling 7 days (15 Oct - 21 Oct),187.9
Cardigan & Aber-porth,Ceredigion,All cases,135.2
Cardigan & Aber-porth,Ceredigion,Rolling 21 days (01 Oct - 21 Oct),67.6
Cardigan & Aber-porth,Ceredigion,Rolling 7 days (15 Oct - 21 Oct),<23
Carmarthen North,Carmarthenshire,All cases,738.3
Carmarthen North,Carmarthenshire,Rolling 21 days (01 Oct - 21 Oct),272.0
Carmarthen North,Carmarthenshire,Rolling 7 days (15 Oct - 21 Oct),77.7
Carmarthen South & Llangynnwr,Carmarthenshire,All cases,728.8
Carmarthen South & Llangynnwr,Carmarthenshire,Rolling 21 days (01 Oct - 21 Oct),248.1
Carmarthen South & Llangynnwr,Carmarthenshire,Rolling 7 days (15 Oct - 21 Oct),<32
Carmarthen West & Cynwyl Elfed,Carmarthenshire,All cases,556.9
Carmarthen West & Cynwyl Elfed,Carmarthenshire,Rolling 21 days (01 Oct - 21 Oct),150.8
Carmarthen West & Cynwyl Elfed,Carmarthenshire,Rolling 7 days (15 Oct - 21 Oct),46.4
Cathays North,Cardiff,All cases,"3,425.2"
Cathays North,Cardiff,Rolling 21 days (01 Oct - 21 Oct),"2,248.1"
Cathays North,Cardiff,Rolling 7 days (15 Oct - 21 Oct),922.6
Cathays South & Bute Park,Cardiff,All cases,"4,271.6"
Cathays South & Bute Park,Cardiff,Rolling 21 days (01 Oct - 21 Oct),"3,711.0"
Cathays South & Bute Park,Cardiff,Rolling 7 days (15 Oct - 21 Oct),"2,060.8"
Cefn Mawr,Wrexham,All cases,"1,263.9"
Cefn Mawr,Wrexham,Rolling 21 days (01 Oct - 21 Oct),490.3
Cefn Mawr,Wrexham,Rolling 7 days (15 Oct - 21 Oct),196.1
Cefn-glas & Bryntirion,Bridgend,All cases,"1,160.2"
Cefn-glas & Bryntirion,Bridgend,Rolling 21 days (01 Oct - 21 Oct),540.4
Cefn-glas & Bryntirion,Bridgend,Rolling 7 days (15 Oct - 21 Oct),127.1
"Cefncoedycymer, Heolgerrig & Park",Merthyr Tydfil,All cases,"2,416.0"
"Cefncoedycymer, Heolgerrig & Park",Merthyr Tydfil,Rolling 21 days (01 Oct - 21 Oct),"1,035.4"
"Cefncoedycymer, Heolgerrig & Park",Merthyr Tydfil,Rolling 7 days (15 Oct - 21 Oct),322.1
Central Bridgend,Bridgend,All cases,832.6
Central Bridgend,Bridgend,Rolling 21 days (01 Oct - 21 Oct),410.5
Central Bridgend,Bridgend,Rolling 7 days (15 Oct - 21 Oct),164.2
Central Swansea,Swansea,All cases,836.2
Central Swansea,Swansea,Rolling 21 days (01 Oct - 21 Oct),379.2
Central Swansea,Swansea,Rolling 7 days (15 Oct - 21 Oct),194.5
Chepstow North & Trellech,Monmouthshire,All cases,423.0
Chepstow North & Trellech,Monmouthshire,Rolling 21 days (01 Oct - 21 Oct),237.3
Chepstow North & Trellech,Monmouthshire,Rolling 7 days (15 Oct - 21 Oct),123.8
Chepstow South,Monmouthshire,All cases,511.2
Chepstow South,Monmouthshire,Rolling 21 days (01 Oct - 21 Oct),162.6
Chepstow South,Monmouthshire,Rolling 7 days (15 Oct - 21 Oct),69.7
Chirk & Ceiriog Valley,Wrexham,All cases,910.2
Chirk & Ceiriog Valley,Wrexham,Rolling 21 days (01 Oct - 21 Oct),478.2
Chirk & Ceiriog Valley,Wrexham,Rolling 7 days (15 Oct - 21 Oct),262.3
Church Village East & Ton-teg,Rhondda Cynon Taf,All cases,"1,493.2"
Church Village East & Ton-teg,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),503.0
Church Village East & Ton-teg,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),235.8
Church Village West,Rhondda Cynon Taf,All cases,"1,555.9"
Church Village West,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),583.5
Church Village West,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),313.3
