msoa,council,period,maxincidence
Pontypool,Torfaen,All cases,901.7
Pontypool,Torfaen,Rolling 21 days (01 Oct - 21 Oct),307.9
Pontypool,Torfaen,Rolling 7 days (15 Oct - 21 Oct),164.9
Pontypridd East & Cilfynydd,Rhondda Cynon Taf,All cases,"1,723.9"
Pontypridd East & Cilfynydd,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),479.7
Pontypridd East & Cilfynydd,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),299.8
Pontypridd West,Rhondda Cynon Taf,All cases,"1,888.1"
Pontypridd West,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),421.8
Pontypridd West,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),160.7
Port Talbot East,Neath Port Talbot,All cases,"1,676.8"
Port Talbot East,Neath Port Talbot,Rolling 21 days (01 Oct - 21 Oct),568.2
Port Talbot East,Neath Port Talbot,Rolling 7 days (15 Oct - 21 Oct),249.4
Port Talbot South & Margam,Neath Port Talbot,All cases,"1,140.1"
Port Talbot South & Margam,Neath Port Talbot,Rolling 21 days (01 Oct - 21 Oct),525.1
Port Talbot South & Margam,Neath Port Talbot,Rolling 7 days (15 Oct - 21 Oct),270.0
Porth East & Ynys-hir,Rhondda Cynon Taf,All cases,"3,092.6"
Porth East & Ynys-hir,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),"1,049.1"
Porth East & Ynys-hir,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),284.1
Porth West,Rhondda Cynon Taf,All cases,"2,044.7"
Porth West,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),623.8
Porth West,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),415.9
Porthcawl East,Bridgend,All cases,"1,100.1"
Porthcawl East,Bridgend,Rolling 21 days (01 Oct - 21 Oct),352.6
Porthcawl East,Bridgend,Rolling 7 days (15 Oct - 21 Oct),211.6
Porthcawl West,Bridgend,All cases,"1,233.5"
Porthcawl West,Bridgend,Rolling 21 days (01 Oct - 21 Oct),433.4
Porthcawl West,Bridgend,Rolling 7 days (15 Oct - 21 Oct),222.2
Porthmadog,Gwynedd,All cases,427.3
Porthmadog,Gwynedd,Rolling 21 days (01 Oct - 21 Oct),85.5
Porthmadog,Gwynedd,Rolling 7 days (15 Oct - 21 Oct),57.0
Prestatyn Central & East,Denbighshire,All cases,"1,682.6"
Prestatyn Central & East,Denbighshire,Rolling 21 days (01 Oct - 21 Oct),420.7
Prestatyn Central & East,Denbighshire,Rolling 7 days (15 Oct - 21 Oct),133.8
Prestatyn North,Denbighshire,All cases,"1,464.0"
Prestatyn North,Denbighshire,Rolling 21 days (01 Oct - 21 Oct),533.9
Prestatyn North,Denbighshire,Rolling 7 days (15 Oct - 21 Oct),86.1
Prestatyn South,Denbighshire,All cases,"1,537.6"
Prestatyn South,Denbighshire,Rolling 21 days (01 Oct - 21 Oct),576.6
Prestatyn South,Denbighshire,Rolling 7 days (15 Oct - 21 Oct),230.6
Pwll-mawr & St Mellons East,Cardiff,All cases,"1,897.5"
Pwll-mawr & St Mellons East,Cardiff,Rolling 21 days (01 Oct - 21 Oct),619.0
Pwll-mawr & St Mellons East,Cardiff,Rolling 7 days (15 Oct - 21 Oct),215.3
Pwllheli & Morfa Nefyn,Gwynedd,All cases,"1,068.9"
Pwllheli & Morfa Nefyn,Gwynedd,Rolling 21 days (01 Oct - 21 Oct),356.3
Pwllheli & Morfa Nefyn,Gwynedd,Rolling 7 days (15 Oct - 21 Oct),83.1
Pye Corner & Graig,Newport,All cases,760.3
Pye Corner & Graig,Newport,Rolling 21 days (01 Oct - 21 Oct),158.4
Pye Corner & Graig,Newport,Rolling 7 days (15 Oct - 21 Oct),79.2
"Pyle, Kenfig Hill & Cefncribwr",Bridgend,All cases,"1,011.8"
"Pyle, Kenfig Hill & Cefncribwr",Bridgend,Rolling 21 days (01 Oct - 21 Oct),505.9
"Pyle, Kenfig Hill & Cefncribwr",Bridgend,Rolling 7 days (15 Oct - 21 Oct),183.0
Queensferry & Sandycroft,Flintshire,All cases,808.8
Queensferry & Sandycroft,Flintshire,Rolling 21 days (01 Oct - 21 Oct),413.4
Queensferry & Sandycroft,Flintshire,Rolling 7 days (15 Oct - 21 Oct),161.8
"Radyr, Morganstown & Gwaelod-y-garth",Cardiff,All cases,"1,106.5"
"Radyr, Morganstown & Gwaelod-y-garth",Cardiff,Rolling 21 days (01 Oct - 21 Oct),295.1
"Radyr, Morganstown & Gwaelod-y-garth",Cardiff,Rolling 7 days (15 Oct - 21 Oct),147.5
Rassau & Beaufort,Blaenau Gwent,All cases,"1,575.8"
Rassau & Beaufort,Blaenau Gwent,Rolling 21 days (01 Oct - 21 Oct),440.1
Rassau & Beaufort,Blaenau Gwent,Rolling 7 days (15 Oct - 21 Oct),184.6
Ravenhill,Swansea,All cases,"1,317.2"
Ravenhill,Swansea,Rolling 21 days (01 Oct - 21 Oct),581.5
Ravenhill,Swansea,Rolling 7 days (15 Oct - 21 Oct),189.9
Rhaglan & Llantilio Crossenny,Monmouthshire,All cases,410.1
Rhaglan & Llantilio Crossenny,Monmouthshire,Rolling 21 days (01 Oct - 21 Oct),191.4
Rhaglan & Llantilio Crossenny,Monmouthshire,Rolling 7 days (15 Oct - 21 Oct),95.7
"Rhayader, Newbridge-on-Wye & Elan Valley",Powys,All cases,457.6
"Rhayader, Newbridge-on-Wye & Elan Valley",Powys,Rolling 21 days (01 Oct - 21 Oct),180.3
"Rhayader, Newbridge-on-Wye & Elan Valley",Powys,Rolling 7 days (15 Oct - 21 Oct),55.5
"Rheidol, Ystwyth & Caron",Ceredigion,All cases,259.8
"Rheidol, Ystwyth & Caron",Ceredigion,Rolling 21 days (01 Oct - 21 Oct),86.6
"Rheidol, Ystwyth & Caron",Ceredigion,Rolling 7 days (15 Oct - 21 Oct),43.3
Rhiwbina & Pant-mawr,Cardiff,All cases,"1,063.2"
Rhiwbina & Pant-mawr,Cardiff,Rolling 21 days (01 Oct - 21 Oct),334.1
Rhiwbina & Pant-mawr,Cardiff,Rolling 7 days (15 Oct - 21 Oct),106.3
Rhiwbina Village,Cardiff,All cases,"1,179.6"
Rhiwbina Village,Cardiff,Rolling 21 days (01 Oct - 21 Oct),415.5
Rhiwbina Village,Cardiff,Rolling 7 days (15 Oct - 21 Oct),160.9
Rhoose & Airport,The Vale of Glamorgan,All cases,604.3
Rhoose & Airport,The Vale of Glamorgan,Rolling 21 days (01 Oct - 21 Oct),184.6
Rhoose & Airport,The Vale of Glamorgan,Rolling 7 days (15 Oct - 21 Oct),67.1
Rhos-on-Sea,Conwy,All cases,"1,114.8"
Rhos-on-Sea,Conwy,Rolling 21 days (01 Oct - 21 Oct),349.4
Rhos-on-Sea,Conwy,Rolling 7 days (15 Oct - 21 Oct),49.9
"Rhos-y-bol, Marian-glas & Moelfre",Anglesey,All cases,701.0
"Rhos-y-bol, Marian-glas & Moelfre",Anglesey,Rolling 21 days (01 Oct - 21 Oct),62.3
"Rhos-y-bol, Marian-glas & Moelfre",Anglesey,Rolling 7 days (15 Oct - 21 Oct),<32
Rhosllannerchrugog & Johnstown South,Wrexham,All cases,"2,333.2"
Rhosllannerchrugog & Johnstown South,Wrexham,Rolling 21 days (01 Oct - 21 Oct),896.3
Rhosllannerchrugog & Johnstown South,Wrexham,Rolling 7 days (15 Oct - 21 Oct),426.8
Rhuddlan & Bodelwyddan,Denbighshire,All cases,"1,467.1"
Rhuddlan & Bodelwyddan,Denbighshire,Rolling 21 days (01 Oct - 21 Oct),405.8
Rhuddlan & Bodelwyddan,Denbighshire,Rolling 7 days (15 Oct - 21 Oct),171.7
Rhyl East,Denbighshire,All cases,"1,274.8"
Rhyl East,Denbighshire,Rolling 21 days (01 Oct - 21 Oct),440.2
Rhyl East,Denbighshire,Rolling 7 days (15 Oct - 21 Oct),100.9
Rhyl North,Denbighshire,All cases,"1,856.7"
Rhyl North,Denbighshire,Rolling 21 days (01 Oct - 21 Oct),419.6
Rhyl North,Denbighshire,Rolling 7 days (15 Oct - 21 Oct),167.8
Rhyl South West,Denbighshire,All cases,"1,616.7"
Rhyl South West,Denbighshire,Rolling 21 days (01 Oct - 21 Oct),490.5
Rhyl South West,Denbighshire,Rolling 7 days (15 Oct - 21 Oct),72.7
"Rhymney, Pontlottyn & Abertysswg",Caerphilly,All cases,"1,126.1"
"Rhymney, Pontlottyn & Abertysswg",Caerphilly,Rolling 21 days (01 Oct - 21 Oct),551.8
"Rhymney, Pontlottyn & Abertysswg",Caerphilly,Rolling 7 days (15 Oct - 21 Oct),292.8
Ridgeway & Glasllwch,Newport,All cases,"1,053.6"
Ridgeway & Glasllwch,Newport,Rolling 21 days (01 Oct - 21 Oct),314.5
Ridgeway & Glasllwch,Newport,Rolling 7 days (15 Oct - 21 Oct),173.0
Ringland,Newport,All cases,951.0
Ringland,Newport,Rolling 21 days (01 Oct - 21 Oct),167.8
Ringland,Newport,Rolling 7 days (15 Oct - 21 Oct),74.6
Risca East,Caerphilly,All cases,955.1
Risca East,Caerphilly,Rolling 21 days (01 Oct - 21 Oct),222.9
Risca East,Caerphilly,Rolling 7 days (15 Oct - 21 Oct),79.6
Risca West,Caerphilly,All cases,"1,311.5"
Risca West,Caerphilly,Rolling 21 days (01 Oct - 21 Oct),250.7
Risca West,Caerphilly,Rolling 7 days (15 Oct - 21 Oct),115.7
Roath,Cardiff,All cases,"1,953.4"
Roath,Cardiff,Rolling 21 days (01 Oct - 21 Oct),970.2
Roath,Cardiff,Rolling 7 days (15 Oct - 21 Oct),491.6
Rogerstone,Newport,All cases,"1,311.2"
Rogerstone,Newport,Rolling 21 days (01 Oct - 21 Oct),281.8
Rogerstone,Newport,Rolling 7 days (15 Oct - 21 Oct),108.4
Ruabon & Marchwiel,Wrexham,All cases,"1,644.8"
Ruabon & Marchwiel,Wrexham,Rolling 21 days (01 Oct - 21 Oct),875.2
Ruabon & Marchwiel,Wrexham,Rolling 7 days (15 Oct - 21 Oct),362.2
Rumney,Cardiff,All cases,"1,562.5"
Rumney,Cardiff,Rolling 21 days (01 Oct - 21 Oct),390.6
Rumney,Cardiff,Rolling 7 days (15 Oct - 21 Oct),186.8
Ruthin,Denbighshire,All cases,"1,172.7"
Ruthin,Denbighshire,Rolling 21 days (01 Oct - 21 Oct),231.0
Ruthin,Denbighshire,Rolling 7 days (15 Oct - 21 Oct),106.6
Sandfields,Neath Port Talbot,All cases,"1,418.7"
Sandfields,Neath Port Talbot,Rolling 21 days (01 Oct - 21 Oct),689.1
Sandfields,Neath Port Talbot,Rolling 7 days (15 Oct - 21 Oct),253.3
"Sarn, Bryn-coch & Bryncethin",Bridgend,All cases,"1,175.8"
"Sarn, Bryn-coch & Bryncethin",Bridgend,Rolling 21 days (01 Oct - 21 Oct),431.6
"Sarn, Bryn-coch & Bryncethin",Bridgend,Rolling 7 days (15 Oct - 21 Oct),133.9
Saundersfoot,Pembrokeshire,All cases,400.3
Saundersfoot,Pembrokeshire,Rolling 21 days (01 Oct - 21 Oct),94.2
Saundersfoot,Pembrokeshire,Rolling 7 days (15 Oct - 21 Oct),<24
Sennybridge & Talybont-on-Usk,Powys,All cases,513.8
Sennybridge & Talybont-on-Usk,Powys,Rolling 21 days (01 Oct - 21 Oct),132.6
Sennybridge & Talybont-on-Usk,Powys,Rolling 7 days (15 Oct - 21 Oct),49.7
Shaftesbury & Crindai,Newport,All cases,782.3
Shaftesbury & Crindai,Newport,Rolling 21 days (01 Oct - 21 Oct),118.1
Shaftesbury & Crindai,Newport,Rolling 7 days (15 Oct - 21 Oct),<30
Shotton & Garden City,Flintshire,All cases,"1,125.9"
Shotton & Garden City,Flintshire,Rolling 21 days (01 Oct - 21 Oct),395.1
Shotton & Garden City,Flintshire,Rolling 7 days (15 Oct - 21 Oct),59.3
Sirhowy,Blaenau Gwent,All cases,"1,625.2"
Sirhowy,Blaenau Gwent,Rolling 21 days (01 Oct - 21 Oct),720.7
Sirhowy,Blaenau Gwent,Rolling 7 days (15 Oct - 21 Oct),424.0
Sketty,Swansea,All cases,"1,636.2"
Sketty,Swansea,Rolling 21 days (01 Oct - 21 Oct),928.3
Sketty,Swansea,Rolling 7 days (15 Oct - 21 Oct),487.7
Skewen & Jersey Marine,Neath Port Talbot,All cases,"1,721.6"
Skewen & Jersey Marine,Neath Port Talbot,Rolling 21 days (01 Oct - 21 Oct),"1,163.0"
Skewen & Jersey Marine,Neath Port Talbot,Rolling 7 days (15 Oct - 21 Oct),750.9
South Riverside,Cardiff,All cases,"1,466.6"
South Riverside,Cardiff,Rolling 21 days (01 Oct - 21 Oct),740.0
South Riverside,Cardiff,Rolling 7 days (15 Oct - 21 Oct),309.5
Splott,Cardiff,All cases,"1,200.3"
Splott,Cardiff,Rolling 21 days (01 Oct - 21 Oct),454.2
Splott,Cardiff,Rolling 7 days (15 Oct - 21 Oct),178.4
St Asaph & Trefnant,Denbighshire,All cases,"1,156.7"
St Asaph & Trefnant,Denbighshire,Rolling 21 days (01 Oct - 21 Oct),186.6
St Asaph & Trefnant,Denbighshire,Rolling 7 days (15 Oct - 21 Oct),74.6
St Cattwg,Caerphilly,All cases,"1,144.0"
St Cattwg,Caerphilly,Rolling 21 days (01 Oct - 21 Oct),565.4
St Cattwg,Caerphilly,Rolling 7 days (15 Oct - 21 Oct),249.8
St Davids & Letterston,Pembrokeshire,All cases,328.9
St Davids & Letterston,Pembrokeshire,Rolling 21 days (01 Oct - 21 Oct),118.4
St Davids & Letterston,Pembrokeshire,Rolling 7 days (15 Oct - 21 Oct),78.9
St Julians & Barnardtown,Newport,All cases,"1,071.5"
St Julians & Barnardtown,Newport,Rolling 21 days (01 Oct - 21 Oct),225.6
St Julians & Barnardtown,Newport,Rolling 7 days (15 Oct - 21 Oct),70.5
St Mellons West,Cardiff,All cases,"1,061.9"
St Mellons West,Cardiff,Rolling 21 days (01 Oct - 21 Oct),307.8
St Mellons West,Cardiff,Rolling 7 days (15 Oct - 21 Oct),61.6
St Thomas,Swansea,All cases,"1,221.3"
St Thomas,Swansea,Rolling 21 days (01 Oct - 21 Oct),520.0
St Thomas,Swansea,Rolling 7 days (15 Oct - 21 Oct),181.4
Stow Hill,Newport,All cases,"1,311.2"
Stow Hill,Newport,Rolling 21 days (01 Oct - 21 Oct),274.4
Stow Hill,Newport,Rolling 7 days (15 Oct - 21 Oct),137.2
Swiss Valley & Llangennech,Carmarthenshire,All cases,"1,424.3"
Swiss Valley & Llangennech,Carmarthenshire,Rolling 21 days (01 Oct - 21 Oct),561.9
Swiss Valley & Llangennech,Carmarthenshire,Rolling 7 days (15 Oct - 21 Oct),274.4
Taff's Well & Nantgarw,Rhondda Cynon Taf,All cases,"1,651.5"
Taff's Well & Nantgarw,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),467.9
Taff's Well & Nantgarw,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),234.0
Tenby & Caldey,Pembrokeshire,All cases,411.5
Tenby & Caldey,Pembrokeshire,Rolling 21 days (01 Oct - 21 Oct),148.1
Tenby & Caldey,Pembrokeshire,Rolling 7 days (15 Oct - 21 Oct),65.8
Thornhill,Cardiff,All cases,"1,190.3"
Thornhill,Cardiff,Rolling 21 days (01 Oct - 21 Oct),396.8
Thornhill,Cardiff,Rolling 7 days (15 Oct - 21 Oct),120.8
Tongwynlais & Coryton,Cardiff,All cases,"1,250.0"
Tongwynlais & Coryton,Cardiff,Rolling 21 days (01 Oct - 21 Oct),426.1
Tongwynlais & Coryton,Cardiff,Rolling 7 days (15 Oct - 21 Oct),85.2
Tonypandy East,Rhondda Cynon Taf,All cases,"2,446.4"
Tonypandy East,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),889.6
Tonypandy East,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),257.5
Tonypandy West & Clydach Vale,Rhondda Cynon Taf,All cases,"3,200.1"
Tonypandy West & Clydach Vale,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),"1,056.5"
Tonypandy West & Clydach Vale,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),306.2
Tonyrefail East,Rhondda Cynon Taf,All cases,"1,817.3"
Tonyrefail East,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),483.5
Tonyrefail East,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),133.4
Tonyrefail West,Rhondda Cynon Taf,All cases,"2,082.1"
Tonyrefail West,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),690.8
Tonyrefail West,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),233.5
"Town North, University & Rhos-ddu",Wrexham,All cases,"2,094.1"
"Town North, University & Rhos-ddu",Wrexham,Rolling 21 days (01 Oct - 21 Oct),517.9
"Town North, University & Rhos-ddu",Wrexham,Rolling 7 days (15 Oct - 21 Oct),157.6
Townhill,Swansea,All cases,"1,022.2"
Townhill,Swansea,Rolling 21 days (01 Oct - 21 Oct),560.6
Townhill,Swansea,Rolling 7 days (15 Oct - 21 Oct),208.8
"Tre-lech, Cenarth & Llangeler",Carmarthenshire,All cases,301.2
"Tre-lech, Cenarth & Llangeler",Carmarthenshire,Rolling 21 days (01 Oct - 21 Oct),144.1
"Tre-lech, Cenarth & Llangeler",Carmarthenshire,Rolling 7 days (15 Oct - 21 Oct),39.3
Tredegar & Georgetown,Blaenau Gwent,All cases,"1,879.6"
Tredegar & Georgetown,Blaenau Gwent,Rolling 21 days (01 Oct - 21 Oct),921.8
Tredegar & Georgetown,Blaenau Gwent,Rolling 7 days (15 Oct - 21 Oct),443.0
Trefethin & Pen-y-garn,Torfaen,All cases,786.3
Trefethin & Pen-y-garn,Torfaen,Rolling 21 days (01 Oct - 21 Oct),353.8
Trefethin & Pen-y-garn,Torfaen,Rolling 7 days (15 Oct - 21 Oct),157.3
Trefforest,Rhondda Cynon Taf,All cases,"1,479.9"
Trefforest,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),572.2
Trefforest,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),226.9
Treharris & Trelewis,Merthyr Tydfil,All cases,"1,522.4"
Treharris & Trelewis,Merthyr Tydfil,Rolling 21 days (01 Oct - 21 Oct),629.6
Treharris & Trelewis,Merthyr Tydfil,Rolling 7 days (15 Oct - 21 Oct),183.2
Treherbert,Rhondda Cynon Taf,All cases,"3,309.5"
Treherbert,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),"1,381.8"
Treherbert,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),443.5
Tremorfa & Pengam,Cardiff,All cases,"1,615.1"
Tremorfa & Pengam,Cardiff,Rolling 21 days (01 Oct - 21 Oct),587.3
Tremorfa & Pengam,Cardiff,Rolling 7 days (15 Oct - 21 Oct),146.8
Treorchy,Rhondda Cynon Taf,All cases,"2,691.5"
Treorchy,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),"1,105.2"
Treorchy,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),260.0
Trowbridge,Cardiff,All cases,"1,529.8"
Trowbridge,Cardiff,Rolling 21 days (01 Oct - 21 Oct),273.8
Trowbridge,Cardiff,Rolling 7 days (15 Oct - 21 Oct),80.5
Ty-coch,Swansea,All cases,"1,428.7"
Ty-coch,Swansea,Rolling 21 days (01 Oct - 21 Oct),537.3
Ty-coch,Swansea,Rolling 7 days (15 Oct - 21 Oct),268.7
Tylorstown,Rhondda Cynon Taf,All cases,"3,107.1"
Tylorstown,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),692.3
Tylorstown,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),236.4
Tywyn & Llangelynnin,Gwynedd,All cases,550.6
Tywyn & Llangelynnin,Gwynedd,Rolling 21 days (01 Oct - 21 Oct),80.6
Tywyn & Llangelynnin,Gwynedd,Rolling 7 days (15 Oct - 21 Oct),67.1
Uplands,Swansea,All cases,"1,638.5"
Uplands,Swansea,Rolling 21 days (01 Oct - 21 Oct),814.1
Uplands,Swansea,Rolling 7 days (15 Oct - 21 Oct),298.8
Upper Colwyn Bay,Conwy,All cases,"1,357.6"
Upper Colwyn Bay,Conwy,Rolling 21 days (01 Oct - 21 Oct),514.0
Upper Colwyn Bay,Conwy,Rolling 7 days (15 Oct - 21 Oct),145.0
"Usk, Goytre & Llangybi Fawr",Monmouthshire,All cases,874.2
"Usk, Goytre & Llangybi Fawr",Monmouthshire,Rolling 21 days (01 Oct - 21 Oct),291.4
"Usk, Goytre & Llangybi Fawr",Monmouthshire,Rolling 7 days (15 Oct - 21 Oct),81.6
Victoria & Somerton,Newport,All cases,"1,037.5"
Victoria & Somerton,Newport,Rolling 21 days (01 Oct - 21 Oct),253.1
Victoria & Somerton,Newport,Rolling 7 days (15 Oct - 21 Oct),143.4
Victoria Park,Cardiff,All cases,"1,460.3"
Victoria Park,Cardiff,Rolling 21 days (01 Oct - 21 Oct),448.1
Victoria Park,Cardiff,Rolling 7 days (15 Oct - 21 Oct),<34
Welshpool,Powys,All cases,"1,368.0"
Welshpool,Powys,Rolling 21 days (01 Oct - 21 Oct),44.6
Welshpool,Powys,Rolling 7 days (15 Oct - 21 Oct),<30
West Cross,Swansea,All cases,"1,045.0"
West Cross,Swansea,Rolling 21 days (01 Oct - 21 Oct),353.5
West Cross,Swansea,Rolling 7 days (15 Oct - 21 Oct),169.0
West Gower,Swansea,All cases,599.1
West Gower,Swansea,Rolling 21 days (01 Oct - 21 Oct),236.5
West Gower,Swansea,Rolling 7 days (15 Oct - 21 Oct),126.1
West Pontnewydd & Thornhill,Torfaen,All cases,713.3
West Pontnewydd & Thornhill,Torfaen,Rolling 21 days (01 Oct - 21 Oct),312.1
West Pontnewydd & Thornhill,Torfaen,Rolling 7 days (15 Oct - 21 Oct),163.5
Whitchurch,Cardiff,All cases,"1,171.1"
Whitchurch,Cardiff,Rolling 21 days (01 Oct - 21 Oct),277.0
Whitchurch,Cardiff,Rolling 7 days (15 Oct - 21 Oct),113.3
"Whitland, Laugharne & Llansteffan",Carmarthenshire,All cases,424.6
"Whitland, Laugharne & Llansteffan",Carmarthenshire,Rolling 21 days (01 Oct - 21 Oct),136.2
"Whitland, Laugharne & Llansteffan",Carmarthenshire,Rolling 7 days (15 Oct - 21 Oct),48.1
Wrexham West,Wrexham,All cases,"2,963.8"
Wrexham West,Wrexham,Rolling 21 days (01 Oct - 21 Oct),372.0
Wrexham West,Wrexham,Rolling 7 days (15 Oct - 21 Oct),108.0
Ynysawdre & Aberkenfig,Bridgend,All cases,"1,205.8"
Ynysawdre & Aberkenfig,Bridgend,Rolling 21 days (01 Oct - 21 Oct),555.3
Ynysawdre & Aberkenfig,Bridgend,Rolling 7 days (15 Oct - 21 Oct),190.4
Yr Hendy & T?-croes,Carmarthenshire,All cases,924.6
Yr Hendy & T?-croes,Carmarthenshire,Rolling 21 days (01 Oct - 21 Oct),280.7
Yr Hendy & T?-croes,Carmarthenshire,Rolling 7 days (15 Oct - 21 Oct),132.1
Ystalyfera & Gwaun-Cae-Gurwen,Neath Port Talbot,All cases,765.0
Ystalyfera & Gwaun-Cae-Gurwen,Neath Port Talbot,Rolling 21 days (01 Oct - 21 Oct),210.4
Ystalyfera & Gwaun-Cae-Gurwen,Neath Port Talbot,Rolling 7 days (15 Oct - 21 Oct),57.4
Ystrad & Llwynypia,Rhondda Cynon Taf,All cases,"2,683.7"
Ystrad & Llwynypia,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),930.6
Ystrad & Llwynypia,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),389.6
Ystrad Mynach & Nelson,Caerphilly,All cases,"1,332.9"
Ystrad Mynach & Nelson,Caerphilly,Rolling 21 days (01 Oct - 21 Oct),661.6
Ystrad Mynach & Nelson,Caerphilly,Rolling 7 days (15 Oct - 21 Oct),330.8
Ystradgynlais & Tawe Uchaf,Powys,All cases,"1,336.0"
Ystradgynlais & Tawe Uchaf,Powys,Rolling 21 days (01 Oct - 21 Oct),346.4
Ystradgynlais & Tawe Uchaf,Powys,Rolling 7 days (15 Oct - 21 Oct),118.8
